Numero,Nombre,Descripcion,Altura,Peso,Categoria,Tipo Primario,Tipo Secundario
247,Pupitar,"Pupitar crea un gas en su interior que comprime y expulsa violentamente a modo de autopropulsión. Tiene un cuerpo resistente que se mantiene inalterable hasta cuando se golpea contra duro acero.",1.2 m,152.0 kg,Caparazón,Roca,Tierra
248,Tyranitar,"Tyranitar tiene una fuerza imponente; es capaz de echar abajo una montaña para hacer su nido. Este Pokémon suele merodear por las zonas de montaña en busca de nuevos rivales contra los que luchar.",2.5 m,255.0 kg,Coraza,Roca,Siniestro
249,Lugia,"La fuerza que tiene Lugia en las alas es devastadora; con nada que las bata es capaz de derribar edificios enteros. Por eso mismo, prefiere vivir donde no haya nadie, en lo más profundo del mar.",5.2 m,216.0 kg,Buceo,Psíquico,Volador
250,Ho-Oh,"El plumaje de Ho-Oh contiene siete colores que pueden apreciarse según el ángulo desde el que les dé la luz. Dicen que sus plumas dan felicidad a quienes las llevan y, también, que este Pokémon vive a los pies del arco iris.",3.8 m,199.0 kg,Arcoíris,Fuego,Volador
251,Celebi,"Este Pokémon vino del futuro haciendo un viaje en el tiempo. Hay quien piensa que, mientras Celebi siga apareciendo, hay un futuro brillante y esperanzador.",0.6 m,5.0 kg,Viajetiempo,Psíquico,Planta
252,Treecko,"Treecko tiene unos ganchos pequeños en las plantas de los pies con los que puede escalar superficies verticales. Este Pokémon ataca dando un golpetazo con la cola.",0.5 m,5.0 kg,Geco Bosque,Planta,
253,Grovyle,"Las hojas que Grovyle tiene por el cuerpo le resultan muy útiles para camuflarse en el bosque y esconderse de los enemigos. A este Pokémon no hay quien lo supere subiendo a los árboles del bosque.",0.9 m,21.6 kg,Geco Bosque,Planta,
254,Sceptile,"Las hojas que le salen a Sceptile del cuerpo tienen unos bordes muy afilados. Este Pokémon es muy ágil, va saltando de rama en rama y se lanza sobre el enemigo por la espalda.",1.9 m,55.2 kg,Monte,Planta,Dragón
255,Torchic,"Torchic no se separa de su Entrenador. Siempre va tras él con sus pasitos inseguros. Este Pokémon escupe bolas de fuego que pueden alcanzar los 1000 °C y carbonizar al enemigo.",0.4 m,2.5 kg,Polluelo,Fuego,
256,Combusken,"Combusken fortalece las piernas corriendo por llanos y montañas. Este Pokémon tiene en las extremidades inferiores tanto fuerza como velocidad. Puede dar hasta diez patadas por segundo.",0.9 m,19.5 kg,Ave Corral,Fuego,Lucha
257,Blaziken,"En combate, Blaziken expulsa vivas llamas por las muñecas y ataca al enemigo con fiereza. Cuanto más fuerte sea el enemigo, más intensas serán las llamas.",1.9 m,52.0 kg,Llameante,Fuego,Lucha
258,Mudkip,"La aleta que tiene Mudkip en la cabeza actúa de radar y es muy sensible. Puede captar movimientos que se produzcan en el agua y en el aire, y todo lo que ocurra a su alrededor, sin necesidad de abrir los ojos.",0.4 m,7.6 kg,Pez Lodo,Agua,
259,Marshtomp,"El cuerpo de Marshtomp está cubierto por una fina película pegajosa gracias a la cual puede vivir en tierra. Cuando la marea está baja, a este Pokémon le encanta jugar en el fango.",0.7 m,28.0 kg,Pez Lodo,Agua,Tierra
260,Swampert,"Swampert es muy fuerte. Puede arrastrar una roca que pese más de una tonelada sin ningún problema. Este Pokémon tiene el sentido de la vista muy desarrollado. Es capaz de ver hasta en aguas cenagosas.",1.9 m,102.0 kg,Pez Lodo,Agua,Tierra
261,Poochyena,"La primera reacción que Poochyena tiene al ver algo moverse es darle un mordisco. Este Pokémon persigue a su presa hasta que cae agotada. Aunque, a veces, sale huyendo si su presa le responde con un ataque.",0.5 m,13.6 kg,Mordisco,Siniestro,
262,Mightyena,"Es muy fácil prever cuándo va a atacar Mightyena; se pone a gruñir con fuerza y se estira. Este Pokémon da unos mordiscos tremendos con los afilados colmillos que tiene.",1.0 m,37.0 kg,Mordisco,Siniestro,
263,Zigzagoon,"Zigzagoon está todo el día dando vueltas de aquí para allá. Es un Pokémon muy inquieto. Se interesa por todo lo que se encuentra en su camino.",0.4 m,17.5 kg,Mapachito,Normal,
264,Linoone,"Linoone siempre corre todo lo rápido que puede y solo en línea recta. Si encuentra un obstáculo en el camino, girará en ángulo recto para esquivarlo. Correr bien por caminos tortuosos es todo un reto para él.",0.5 m,32.5 kg,Lanzado,Normal,
265,Wurmple,"Wurmple usa las púas del lomo para raspar los troncos de los árboles, quitarles la corteza y beber la savia que emanan. Este Pokémon tiene unas ventosas rematándole los pies, con las que se adhiere al cristal sin resbalarse.",0.3 m,3.6 kg,Gusano,Bicho,
266,Silcoon,"Silcoon usa la seda que produce para aferrarse a la rama de un árbol y sujetarse bien. Se queda ahí colgado a la espera de su evolución, mientras lo observa todo a través de dos pequeños agujeros en su capullo de seda.",0.6 m,10.0 kg,Capullo,Bicho,
267,Beautifly,"La comida favorita de Beautifly es el dulce polen de las flores. Si quieres ver a este Pokémon, deja una maceta con flores al lado de la ventana y verás cómo aparece un ejemplar de Beautifly en busca de polen.",1.0 m,28.4 kg,Mariposa,Bicho,Volador
268,Cascoon,"Cascoon forma el capullo que lo protege enrollándose por completo en la seda que libera por la boca. Cuando está totalmente recubierto, se prepara para evolucionar en el interior del capullo.",0.7 m,11.5 kg,Capullo,Bicho,
269,Dustox,"Los Dustox se acercan a la luz de forma instintiva. De hecho, se agrupan en enjambres alrededor de las luces de las ciudades y causan estragos en las hojas de los árboles que están a pie de calle para alimentarse.",1.2 m,31.6 kg,Polilla Ven.,Bicho,Veneno
270,Lotad,"Lotad vive en estanques y lagos, donde permanece flotando. Si se le marchita la ancha hoja que tiene en la cabeza, se debilitará. De vez en cuando, se desplaza en busca de agua limpia.",0.5 m,2.6 kg,Alga,Agua,Planta
271,Lombre,"Lombre es, además de travieso, nocturno; entra en acción de noche. Cuando ve a gente pescando, se pone a tirar del sedal por debajo del agua y se divierte viendo la cara de enfado que se les queda.",1.2 m,32.5 kg,Alegre,Agua,Planta
272,Ludicolo,"Ludicolo empieza a bailar en cuanto oye música alegre y de fiesta. Dicen que este Pokémon aparece cuando oye cantar a los niños que van de excursión para hacer senderismo.",1.5 m,55.0 kg,Optimista,Agua,Planta
273,Seedot,"Seedot se queda enganchado a las ramas de los árboles por el extremo que tiene en la cabeza. Mientras está ahí colgado, aprovecha para tomar la humedad del árbol. Cuanta más agua bebe, más lustroso se le ve.",0.5 m,4.0 kg,Bellota,Planta,
274,Nuzleaf,"Nuzleaf habita bosques muy poblados y, en ocasiones, se atreve a salir para asustar a la gente. A este Pokémon no le gusta nada que le pellizquen la nariz.",1.0 m,28.0 kg,Astuto,Planta,Siniestro
275,Shiftry,"Shiftry es un enigmático Pokémon que vive, dicen, en las copas de los árboles milenarios. Este Pokémon genera fuertes corrientes de aire con los abanicos que lleva en las manos.",1.3 m,59.6 kg,Malvado,Planta,Siniestro
276,Taillow,"Taillow se mantiene firme ante sus rivales, sean lo fuertes que sean. Este valiente Pokémon seguirá mostrándose desafiante, aunque pierda en combate. Además, si se enfada, se pondrá a gritar con energía.",0.3 m,2.3 kg,Pequebuche,Normal,Volador
277,Swellow,"Swellow vuela muy alto dibujando elegantes arcos en el cielo. Este Pokémon se sumerge en el agua con rapidez y eficacia en cuanto detecta una presa. Con las garras, atrapa a la desdichada víctima y no la deja huir.",0.7 m,19.8 kg,Buche,Normal,Volador
278,Wingull,"Wingull tiene la costumbre de llevar a su presa y objetos de valor en el pico, y esconderlos en distintos sitios. Este Pokémon vuela dejándose llevar por las corrientes de aire como si fuera patinando por el cielo.",0.6 m,9.5 kg,Gaviota,Agua,Volador
279,Pelipper,"Pelipper vuela transportando pequeños huevos y Pokémon dentro del descomunal pico que tiene. Este Pokémon construye su nido en escarpados acantilados frente al mar.",1.2 m,28.0 kg,Ave Agua,Agua,Volador
280,Ralts,"Ralts percibe las sensaciones de la gente por los cuernos que tiene encima y detrás de la cabeza. No es común que este Pokémon aparezca en público, pero cuando lo hace, se acerca si ve buena disposición en la gente.",0.4 m,6.6 kg,Sensible,Psíquico,Hada
281,Kirlia,"Dicen que, al recibir los sentimientos positivos de su Entrenador, Kirlia crece con gran belleza. Este Pokémon controla poderes psicoquinéticos gracias al desarrollado cerebro que tiene.",0.8 m,20.2 kg,Sensorio,Psíquico,Hada
282,Gardevoir,"Gardevoir es capaz de leer el futuro. Si siente que su Entrenador está en peligro inminente, dicen que libera automáticamente toda su energía psicoquinética.",1.6 m,48.4 kg,Envolvente,Psíquico,Hada
283,Surskit,"Surskit segrega un aceite por la punta de las patas que le permite caminar sobre el agua como si fuera patinando. Este Pokémon se alimenta de microorganismos en charcas y lagos.",0.5 m,1.7 kg,Zapatero,Bicho,Agua
284,Masquerain,"Masquerain intimida a sus enemigos con los ojos que tiene dibujados en las antenas. Este Pokémon bate las cuatro alas que tiene para volar libremente en cualquier dirección, hasta de lado y hacia atrás, como un helicóptero.",0.8 m,3.6 kg,Globocular,Bicho,Volador
285,Shroomish,"Los Shroomish viven en zonas húmedas en la profunda oscuridad del bosque. Suelen quedarse tranquilamente bajo las hojas caídas. Se alimentan del abono que estas generan al empezar a pudrirse.",0.4 m,4.5 kg,Hongo,Planta,
286,Breloom,"Breloom se acerca al enemigo realizando un juego de piernas ágil y enérgico. Y, a continuación, le da unos puñetazos con los brazos elásticos que tiene. Las técnicas de lucha que usa dejan en ridículo al boxeador más profesional.",1.2 m,39.2 kg,Hongo,Planta,Lucha
287,Slakoth,"Slakoth se pasa más de veinte horas al día tumbado. Como se mueve tan poco, necesita muy poca comida. De hecho, la única toma que hace al día la componen tan solo tres hojas.",0.8 m,24.0 kg,Gandul,Normal,
288,Vigoroth,"Vigoroth está continuamente inquieto, rabiando por salir corriendo sin control. Estar quieto un solo minuto es superior a sus fuerzas. Si no puede estar en continuo movimiento, el nivel de estrés de este Pokémon se dispara.",1.4 m,46.5 kg,Mono Feroz,Normal,
289,Slaking,"Slaking se pasa todo el día tumbado vagueando. Se come la hierba que tiene a su alcance y, una vez que ha acabado con ella, se va de mala gana a otro sitio.",2.0 m,130.5 kg,Holgazán,Normal,
290,Nincada,"Nincada vive bajo tierra en la más absoluta oscuridad durante años. Este Pokémon absorbe nutrientes de las raíces de los árboles y permanece inmóvil a la espera de su evolución.",0.5 m,5.5 kg,Aprendiz,Bicho,Tierra
291,Ninjask,"Ninjask se mueve de un lado a otro a tal velocidad que es imposible verlo. Sin embargo, como su zumbido no deja de oírse, se pensó durante mucho tiempo que este Pokémon era invisible.",0.8 m,12.0 kg,Ninja,Bicho,Volador
292,Shedinja,"Shedinja tiene un cuerpo robusto que no mueve en absoluto. De hecho, parece una especie de caparazón hueco. Se cree que, si alguien se atreviera a mirarle por la espalda lo que tiene en su interior, Shedinja le robaría el alma.",0.8 m,1.2 kg,Muda,Bicho,Fantasma
293,Whismur,"Normalmente, Whismur tiene una voz tenue, casi inaudible, aunque se preste atención. No obstante, si este Pokémon siente que el peligro acecha, puede ponerse a chillar con un volumen ensordecedor.",0.6 m,16.3 kg,Susurro,Normal,
294,Loudred,"Los bramidos de Loudred pueden echar abajo una casa reforzada con vigas de madera. Este Pokémon usa el vozarrón que tiene para castigar a sus rivales. Las orejas redondas le sirven de altavoces.",1.0 m,40.5 kg,Chillón,Normal,
295,Exploud,"Exploud provoca terremotos con el temblor que causa al levantar la voz. Cuando inhala aire por los tubos, hay que prestar atención, ya que está a punto de soltar un buen bramido.",1.5 m,84.0 kg,Escandaloso,Normal,
296,Makuhita,"Makuhita es tenaz. Da igual las veces que le venzan; volverá a ponerse en pie y a atacar. De hecho, cada vez que se recupera, acumula más energía para poder evolucionar.",1.0 m,86.4 kg,Valiente,Lucha,
297,Hariyama,"Hariyama practica los empujones que da estirando los brazos allá por donde va. Este Pokémon puede partir por la mitad un poste de teléfono de un enérgico golpe con los brazos estirados y las manos abiertas.",2.3 m,253.8 kg,Empuje,Lucha,
298,Azurill,"Azurill enrolla la cola como si fuera un lazo y la despliega a continuación todo lo que puede. De esta forma, un Azurill llegó a lanzarse a sí mismo hasta 10 m.",0.2 m,2.0 kg,A Topos,Normal,Hada
299,Nosepass,"Nosepass siempre está con la nariz magnética que tiene orientada hacia el norte. Si se encuentra con otro ejemplar de su especie, no puede mirarle de frente porque sus polos magnéticos se repelen.",1.0 m,97.0 kg,Brújula,Roca,
300,Skitty,"A Skitty le encanta mover cosas e ir detrás de ellas. Es de todos sabido que se dedica a ir detrás de su propia cola y que, al final, acaba mareándose.",0.6 m,11.0 kg,Gatito,Normal,
301,Delcatty,"Delcatty prefiere llevar una vida independiente y hacer lo que se le antoje. Como este Pokémon come y duerme según vea en cada momento, no se puede decir que tenga unos hábitos regulares en el día a día.",1.1 m,32.6 kg,Cursi,Normal,
302,Sableye,"Los Sableye hacen una vida muy tranquila en cavernas, pero son muy temidos. Se dice que, cuando los ojos les brillan de manera siniestra, están robándole el alma a alguien.",0.5 m,161.0 kg,Oscuridad,Siniestro,Fantasma
303,Mawile,"Las descomunales fauces de acero de Mawile son la evolución de unos cuernos que tuvo en su día. Con su expresión dócil puede engañar al enemigo y hacer que baje la guardia para sorprenderle con las fauces.",1.0 m,23.5 kg,Tramposo,Acero,Hada
304,Aron,"Este Pokémon tiene el cuerpo de acero. Para mantenerlo, se alimenta del hierro que saca de las montañas. A veces, causa verdaderos problemas, pues se come puentes y vías de tren.",0.4 m,60.0 kg,Cor. Férrea,Acero,Roca
305,Lairon,"Lairon templa su cuerpo de acero bebiendo agua mineral muy rica en nutrientes hasta que no puede más. Este Pokémon suele crear su nido cerca de manantiales de rica agua.",0.9 m,120.0 kg,Cor. Férrea,Acero,Roca
306,Aggron,"Aggron marca una montaña entera como su territorio y acaba con todo lo que pueda ponerlo en peligro. Este Pokémon está continuamente patrullando la zona en defensa de su terreno.",2.2 m,395.0 kg,Cor. Férrea,Acero,Acero
307,Meditite,"Meditite lleva a cabo un entrenamiento mental exhaustivo en lo más profundo de las montañas. Aunque, cuando medita, pierde toda la concentración y se descentra. Por eso, no deja nunca de entrenarse.",0.6 m,11.2 kg,Meditador,Lucha,Psíquico
308,Medicham,"Dicen que, a través de la meditación, Medicham aumenta su energía interior y agudiza su sexto sentido. Este Pokémon suele pasar desapercibido mimetizándose con el campo y las montañas.",1.3 m,31.5 kg,Meditador,Lucha,Psíquico
309,Electrike,"Electrike acumula electricidad en el largo pelaje que tiene. Este Pokémon estimula los músculos de las patas mediante descargas eléctricas. Estas explosiones de energía le permiten acelerar de forma increíble.",0.6 m,15.2 kg,Calambre,Eléctrico,
310,Manectric,"Manectric está continuamente descargando electricidad por las melenas, y a veces causa incendios en el bosque con las chispas que suelta. Cuando entra en combate, este Pokémon crea nubarrones.",1.8 m,44.0 kg,Descarga,Eléctrico,Eléctrico
311,Plusle,"Plusle siempre anima a sus compañeros. Cuando algún miembro de su grupo hace un gran esfuerzo en combate, causa un cortocircuito en su interior para mostrar con el chisporroteo su alegría.",0.4 m,4.2 kg,Ánimo,Eléctrico,
312,Minun,"Minun se preocupa más por alentar a sus compañeros de equipo que por su propia seguridad. Para animar a los miembros de su grupo, crea un cortocircuito en su interior y libera un chisporroteo espectacular.",0.4 m,4.2 kg,Ánimo,Eléctrico,
313,Volbeat,"Cuando llega la noche, Volbeat emite luz por la cola y regula la intensidad y el destello para comunicarse con el resto. A este Pokémon le atrae el dulce aroma de Illumise.",0.7 m,17.7 kg,Luciérnaga,Bicho,
314,Illumise,"Illumise atrae mediante su dulce aroma a enjambres de Volbeat. Una vez que los ha agrupado, les guía en el vuelo para que dibujen formas geométricas en el lienzo del oscuro cielo.",0.6 m,17.7 kg,Luciérnaga,Bicho,
315,Roselia,"Roselia lanza finas espinas a todo el que se le acerca con intención de robarle las flores de los brazos. El aroma de este Pokémon resulta relajante a los seres vivos.",0.3 m,2.0 kg,Espina,Planta,Veneno
316,Gulpin,"Casi la totalidad del cuerpo de Gulpin está compuesto por el estómago. Por eso, puede tragarse todo lo que tenga su tamaño. En el interior del estómago tiene un fluido capaz de corroerlo todo.",0.4 m,10.3 kg,Estómago,Veneno,
317,Swalot,"Cuando Swalot detecta una presa, echa por los poros, y a borbotones, un fluido tóxico espantoso con el que rocía a su víctima. Una vez que la debilita, se la traga entera gracias a la gigantesca boca que tiene.",1.7 m,80.0 kg,Bolsa Veneno,Veneno,
318,Carvanha,"Carvanha, gracias a las descomunales fauces de afilados colmillos que tiene, es capaz de hacer trizas un barco. Son muchas las naves que han sufrido el ataque de este Pokémon y han acabado naufragando.",0.8 m,20.8 kg,Feroz,Agua,Siniestro
319,Sharpedo,"Conocido como el Terror de los Mares, Sharpedo es temido por todos. Si este Pokémon pierde los escalofriantes colmillos que tiene, los recupera en breve. Basta con un Sharpedo para destrozar un buque-cisterna.",2.5 m,130.3 kg,Voraz,Agua,Siniestro
320,Wailmer,"Wailmer tiene los espiráculos encima de la cabeza. A este juguetón Pokémon le encanta asustar a la gente expulsando el agua que acumula a través de estos orificios.",2.0 m,130.0 kg,Ballenabola,Agua,
321,Wailord,"Wailord es el mayor Pokémon registrado hasta la fecha. Este coloso va nadando lánguidamente por el ancho mar con la boca abierta para que penetre la mayor cantidad posible de alimento.",14.5 m,398.0 kg,Ballenaflot,Agua,
322,Numel,"Numel tarda en percibir las cosas, no se entera ni cuando lo golpean, pero se da cuenta enseguida de si tiene hambre. El cuerpo de este Pokémon es un caldero de magma hirviendo.",0.7 m,24.0 kg,Torpe,Fuego,Tierra
323,Camerupt,"Camerupt encierra un volcán en su interior y magma de 10 000 °C le recorre el cuerpo. A veces, las jorobas de la espalda entran en erupción y escupen el abrasivo magma.",2.5 m,320.5 kg,Erupción,Fuego,Tierra
324,Torkoal,"Torkoal va cavando por las montañas en busca de carbón. Cuando lo encuentra, rellena los huecos que tiene dentro del caparazón y lo quema. Si le atacan, este Pokémon echa un humo negro que le permite la retirada.",0.5 m,80.4 kg,Carbón,Fuego,
325,Spoink,"Spoink se pasa todo el día saltando sobre la cola. Cada salto hace que le lata el corazón. Por eso, no puede permitirse dejar de saltar. Si lo hiciera, se le pararía.",0.7 m,30.6 kg,Saltarín,Psíquico,
326,Grumpig,"Grumpig usa las perlas negras que tiene para amplificar las ondas de su poder psíquico y controlar del todo al rival. Cuando usa su poder especial, le cuesta respirar y resopla con pesadez.",0.9 m,71.5 kg,Manipulador,Psíquico,
327,Spinda,"Dicen que no hay dos Spinda que tengan los mismos dibujos en el pelaje. Este Pokémon tiene una forma de andar inestable, va tambaleándose. Da la sensación de ir bailando.",1.1 m,5.0 kg,Panda Topos,Normal,
328,Trapinch,"El nido de Trapinch está situado bajo la arena, en una zona cóncava. Este Pokémon espera con paciencia a que su presa caiga en la misma. Con las fauces que tiene puede destruir hasta piedras.",0.7 m,15.0 kg,Hormigaleón,Tierra,
329,Vibrava,"Para debilitar a su víctima, Vibrava genera ondas ultrasónicas haciendo vibrar con fuerza las alas. Las ondas que crea son tan fuertes que pueden dar dolor de cabeza a la gente.",1.1 m,15.3 kg,Vibrante,Tierra,Dragón
330,Flygon,"A Flygon se le conoce como el Espíritu del Desierto. Al volar, como levanta una nube de arena al batir las alas, está siempre envuelto en una tormenta de arena.",2.0 m,82.0 kg,Místico,Tierra,Dragón
331,Cacnea,"Cacnea habita en desiertos y otras zonas áridas. Para atraer a su presa, libera un fuerte aroma por la flor y, cuando se le acerca, le lanza pinchos por todo el cuerpo para reducirla.",0.4 m,51.3 kg,Cactus,Planta,
332,Cacturne,"Durante el día, Cacturne permanece inmóvil para no perder nada de humedad bajo el sol de justicia del desierto. Este Pokémon entra en acción por la noche, cuando bajan las temperaturas.",1.3 m,77.4 kg,Espantajo,Planta,Siniestro
333,Swablu,"Swablu tiene unas alas ligeras y esponjosas que parecen nubes de algodón. A este Pokémon no le asusta la gente. De hecho, puede llegar a posarse en la cabeza de alguien y servirle de gorro sedoso.",0.4 m,1.2 kg,Ave Algodón,Normal,Volador
334,Altaria,"Altaria baila y revolotea por el cielo entre ondeantes nubes que parecen de algodón. Al entonar melodías con su voz cristalina, este Pokémon deja a sus oyentes embobados y admirados.",1.5 m,20.6 kg,Cantor,Dragón,Hada
335,Zangoose,"Los ecos del combate mantenido con su rival más feroz, Seviper, resuenan aún en cada célula de Zangoose. Este Pokémon esquiva los ataques con auténtica destreza.",1.3 m,40.3 kg,Gato Hurón,Normal,
336,Seviper,"Seviper lleva años de gran enemistad con Zangoose. Las cicatrices que tiene por todo el cuerpo dan buena muestra de los encarnizados combates en los que se han enfrentado. Seviper ataca usando su cola con forma de espada.",2.7 m,52.5 kg,Colmillos,Veneno,
337,Lunatone,"Lunatone fue descubierto en el lugar de impacto de un meteorito. Por eso, hay quien especula con la idea de que procede del espacio. Con todo, hasta el día de hoy nadie ha podido probar esta teoría.",1.0 m,168.0 kg,Meteorito,Roca,Psíquico
338,Solrock,"Solrock pertenece a una nueva especie de Pokémon a la que se le atribuye una procedencia extraterrestre. Este Pokémon permanece flotando en el aire y se mueve muy despacio. Al luchar, desprende una luz viva e intensa.",1.2 m,154.0 kg,Meteorito,Roca,Psíquico
339,Barboach,"Barboach tiene unos bigotes sensibles que le sirven de infalible radar. Este Pokémon se sumerge en lodo y solo deja los bigotes por fuera de la superficie, al acecho, mientras espera a que llegue su presa.",0.4 m,1.9 kg,Bigotudo,Agua,Tierra
340,Whiscash,"Whiscash defiende su territorio a toda costa. Es capaz de apoderarse de un estanque entero para sí solo. Si alguien se le acerca, se revolverá y provocará un terremoto devastador.",0.9 m,23.6 kg,Bigotudo,Agua,Tierra
341,Corphish,"En un principio, se importaban Corphish como mascota. Pero, al final, se hicieron salvajes. Este Pokémon es muy resistente y ha aumentado su población de forma considerable.",0.6 m,11.5 kg,Rufián,Agua,
342,Crawdaunt,"Crawdaunt es de una naturaleza extremadamente violenta que le lleva a desafiar a otros seres vivos. Hay formas de vida que se niegan a vivir en los estanques donde habitan estos Pokémon, y los dejan medio vacíos.",1.1 m,32.8 kg,Granuja,Agua,Siniestro
343,Baltoy,"Baltoy se mueve girando alrededor de sí mismo sobre la extremidad inferior que tiene. En unas ruinas antiguas, descubrieron pinturas rupestres en las que aparecía este Pokémon conviviendo con personas.",0.5 m,21.5 kg,Muñeca Barro,Tierra,Psíquico
344,Claydol,"Se cree que los Claydol son figuras de barro hechas por humanos primitivos y que un misterioso rayo les hizo cobrar vida. Este Pokémon se desplaza levitando.",1.5 m,108.0 kg,Muñeca Barro,Tierra,Psíquico
345,Lileep,"Los Lileep se extinguieron hace unos cien millones de años aproximadamente. Este Pokémon se ancla a una roca en el fondo del mar y atrapa a las presas que se le acercan con los tentáculos que tiene en forma de pétalos de flor.",1.0 m,23.8 kg,Lila Mar,Roca,Planta
346,Cradily,"Cradily va por el fondo oceánico sin rumbo fijo en busca de comida. El cuello de este Pokémon se parece al tronco de un árbol. Cuando quiere atrapar a su presa desprevenida, lo estira y usa los ocho tentáculos que tiene.",1.5 m,60.4 kg,Percebe,Roca,Planta
347,Anorith,"Anorith se regeneró a partir de un fósil prehistórico. Este Pokémon primitivo vivía en mares cálidos. Gracias a sus enormes pinzas puede agarrar a su presa con firmeza.",0.7 m,12.5 kg,Camarón,Roca,Bicho
348,Armaldo,"Armaldo tiene una sólida armadura que repele cualquier ataque. Este Pokémon puede estirar o encoger todo lo que quiera las pinzas que tiene. Con ellas, puede atravesar una plancha de acero.",1.5 m,68.2 kg,Armadura,Roca,Bicho
349,Feebas,"Feebas tiene las aletas melladas y rasgadas desde que nace. Debido a este aspecto poco imponente, son pocos los que lo tienen en cuenta. Este Pokémon puede vivir tanto en agua salada como dulce.",0.6 m,7.4 kg,Pez,Agua,
350,Milotic,"De Milotic se dice que es el Pokémon más bello. Tiene la capacidad de calmar sentimientos tales como el miedo y la hostilidad, y apaciguar las relaciones de áspera enemistad.",6.2 m,162.0 kg,Tierno,Agua,
351,Castform,"La forma de Castform cambia con las variaciones del tiempo. Este Pokémon consiguió aprender a usar el gran poder de la naturaleza para proteger el pequeño cuerpo que tiene.",0.3 m,0.8 kg,Clima,Normal,Hielo
352,Kecleon,"Kecleon puede alterar la pigmentación de la piel para mezclarse con su entorno. Lo único que no es capaz de cambiar es el trazado en zigzag que tiene en la panza.",1.0 m,22.0 kg,Camaleónico,Normal,
353,Shuppet,"A Shuppet le atraen los sentimientos de celos y rencor. Si alguien desarrolla fuertes sentimientos de venganza, aparecerá una multitud de Shuppet que se quedará bajo los aleros de su casa.",0.6 m,2.3 kg,Títere,Fantasma,
354,Banette,"Banette genera energía para echar un infalible hechizo clavándose púas a sí mismo. Los orígenes de este Pokémon son algo tristes: era un muñeco de felpa al que tiraron a la basura.",1.2 m,13.0 kg,Marioneta,Fantasma,Fantasma
355,Duskull,"Duskull puede atravesar los muros, sea cual sea el grosor que tengan. Cuando este Pokémon elige su objetivo, lo persigue hábilmente hasta el amanecer.",0.8 m,15.0 kg,Réquiem,Fantasma,
356,Dusclops,"Dusclops está completamente hueco por dentro. Dicen que su cuerpo es como un agujero negro. Este Pokémon es capaz de absorber cualquier cosa, pero cosa que absorba, cosa que no dejará salir nunca más.",1.6 m,30.6 kg,Atrayente,Fantasma,
357,Tropius,"A los niños les encantan los racimos de fruta que Tropius tiene en el cuello. Este Pokémon siempre come fruta; le encanta. De hecho, ese parece ser el motivo por el que él mismo da fruta.",2.0 m,100.0 kg,Fruto,Planta,Volador
358,Chimecho,"Chimecho hace que sus gritos resuenen con eco en su interior. Cuando se enfada, los chillidos se convierten en ondas ultrasónicas capaces de derribar a los enemigos voladores.",0.6 m,1.0 kg,Sonido Aire,Psíquico,
359,Absol,"Cada vez que Absol aparece ante la gente, ocurre una catástrofe natural como un terremoto o un maremoto. Por esta razón se le conoce como el Pokémon de las catástrofes.",1.2 m,49.0 kg,Catástrofe,Siniestro,Siniestro
360,Wynaut,"Wynaut está siempre con una gran sonrisa puesta. Para ver si está enfadado, basta con mirarle la cola. Cuando se le molesta, se pone a dar golpetazos en el suelo.",0.6 m,14.0 kg,Radiante,Psíquico,
361,Snorunt,"Snorunt vive en zonas de grandes nevadas. En primavera y verano, cuando no nieva, se retira a las cavernas para vivir tranquilamente entre estalactitas y estalagmitas.",0.7 m,16.8 kg,Gorro Nieve,Hielo,
362,Glalie,"Glalie endurece el cuerpo rocoso que tiene con una coraza de hielo. Este Pokémon tiene la habilidad de congelar la humedad del ambiente y formar la figura que se le antoje.",2.1 m,350.2 kg,Cara,Hielo,Hielo
363,Spheal,"Spheal se desplaza por el suelo más rápido rodando que caminando. Cuando come con otros de su especie, todos se ponen a aplaudir para expresar su alegría. Por eso, a veces son algo escandalosos.",0.8 m,39.5 kg,Aplauso,Hielo,Agua
364,Sealeo,"Cada vez que Sealeo ve algo nuevo, se lo pone en el morro y empieza a darle vueltas. A veces, para entretenerse, hace lo mismo con un Spheal.",1.1 m,87.6 kg,Rodabola,Hielo,Agua
365,Walrein,"Walrein tiene unos exagerados colmillos con los que puede hacer añicos bloques de hielo de hasta 10 toneladas de una sola dentellada. La gruesa capa de grasa que lo recubre le protege de temperaturas inferiores a 0 °C.",1.4 m,150.6 kg,Rompehielo,Hielo,Agua
366,Clamperl,"La sólida concha que rodea a Clamperl no solo le sirve para protegerse, sino también de cepo para atrapar a su presa. Cuando la concha alcanza su mayor tamaño, presenta muescas y rasguños por todas partes.",0.4 m,52.5 kg,Bivalvo,Agua,
367,Huntail,"Huntail ha pasado desapercibido durante mucho tiempo por vivir en las profundidades del mar. El sentido de la vista de este Pokémon le permite ver en las oscuras y turbias aguas submarinas.",1.7 m,27.0 kg,Abisal,Agua,
368,Gorebyss,"Gorebyss vive en los mares del sur, en lo más profundo; de ahí que tenga el cuerpo preparado para soportar la presión tan grande que hay en el fondo marino, y que no le hagan daño los ataques comunes.",1.8 m,22.6 kg,Mar Del Sur,Agua,
